,,,,,
Word,Pronunciation,Mean_A,Nghĩa tiếng Việt,ExampleSentence,TopicId
Account (n),əˈkaʊnt,an arrangement with a bank to keep your money there and to allow you to take it out when you need to,Tài khoản ngân hàng,She manages her expenses through an online account.,107
Advertisement (n),ədˈvɜːr.tɪs.mənt,Promotion of a product or service,Quảng cáo,The company launched a new advertisement campaign.,107
Agreement (n),əˈɡriː.mənt,"a decision or arrangement that has been made and accepted by two or more people, groups, organizations, etc.",Thỏa thuận,Both parties reached an agreement after negotiations.,107
Asset (n),ˈæs.ets/,Valuable possessions,Tài sản,The company's assets include real estate and stocks.,107
Audit (n) (v),ˈɔː.dɪt,Examination of financial records,Kiểm toán,The annual audit ensures financial transparency.,107
Authentic (adj),ɔːˈθen.tɪk,"Genuine, real",Chính hãng,The antique shop specializes in authentic artifacts.,107
Affiliate (n),əˈfɪl.i.eɪt,one part of a larger group or organization,Đối tác liên kết,The company has many affiliates worldwide.,107
Allocation (n),ˌæl.əˈkeɪ.ʃən,Distribution of resources,Phân bổ,The allocation of funds was based on project needs.,107
Auction (n),ˈɔːk.ʃən,Public sale of goods to highest bidder,Buổi đấu giá,The rare painting was sold at a high price in an auction.,107
Business (n),ˈbɪz.nɪs,Commercial activity,Doanh nghiệp,She started her own business after graduating.,107
Budget (n),ˈbʌdʒ.ɪt,Financial plan,Ngân sách,The company is preparing a budget for the next year.,107
Bankruptcy (n),ˈbæŋk.rʌpt.si,a situation in which a business or a person becomes unable to pay their debts,Phá sản,The company faced bankruptcy due to heavy losses.,107
Buyer (n),ˈbaɪ.ər,"Purchaser, customer",Người mua,The buyer was interested in the new product features.,107
Brand (n),brænd,Distinctive identity,Thương hiệu,The brand's logo and name are recognized worldwide.,107
Bargain (n),ˈbɑːr.ɡən,something on sale at a lower price than its true value,"Thương thảo, mặc cả",She managed to get a great bargain on the purchase.,107
Consumer (n),kənˈsuː.mər,"Buyer, customer",Người tiêu dùng,Consumer preferences influence market trends.,107
Currency (n),ˈkɜːr.ən.si,Money system,Tiền tệ,The exchange rate determines the value of the currency.,107
Corporation (n),ˌkɔːr.pəˈreɪ.ʃən,Large company,Tập đoàn,The corporation expanded its operations internationally.,107
Competition (n),ˌkɑːm.pəˈtɪʃ.ən,"Rivalry, contest",Sự cạnh tranh,Intense competition can drive innovation in the market.,107
Customs (n),ˈkʌs.təmz,"the place at a port, airport, or border where travellers' bags are looked at to find out if any goods are being carried illegally",Hải quan,Goods are subject to inspection at the customs checkpoint.,107
Consumerism (n),kənˈsuː.mə.rɪ.zəm,Emphasis on consumption,Chủ nghĩa tiêu dùng,Consumerism can lead to excessive spending.,107
Capital (n),ˈkæp.ɪ.təl,Wealth used in investment,Vốn,The company secured additional capital for expansion.,107
Distribution (n),ˌdɪs.trɪˈbjuː.ʃən,"Delivery, spreading",Sự phân phối,The distribution network ensures products reach customers.,107
Debt (n),dɛt,Money owed,Nợ,The company is working to reduce its debt load.,107
Dividend (n),ˈdɪv.ɪ.dend,Shareholder payment,Cổ tức,The shareholders received a dividend from the profits.,107
Discount (n),ˈdɪs.kaʊnt,Reduction in price,Giảm giá,The store offers a 20% discount on all items.,107
Demand (n),dɪˈmænd,Desire for goods,Nhu cầu,The demand for the product increased after the launch.,107
Export (v),ˈek.spɔːrt,Send goods abroad,Xuất khẩu,The country exports mainly agricultural products.,107
Exchange rate,ɪksˈʧeɪndʒ reɪt,Value of currency,Tỷ giá hối đoái,The exchange rate affects the cost of imports.,107
Entrepreneur (n),ˌɑːn.trə.prəˈnɝː,Business owner,Doanh nhân,She is a successful entrepreneur with multiple businesses.,107
